website_name,geojson_name
Ahuntsic–Cartierville,Ahuntsic-Cartierville
Anjou,Anjou
Baie-D'Urfé,BAIE D'URFE
Beaconsfield,BEACONSFIELD
Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce
Côte-Saint-Luc,CÔTE-SAINT-LUC
Dollard-des-Ormeaux,DOLLARD-DES-ORMEAUX
Dorval,DORVAL
Hampstead,HAMPSTEAD
Kirkland,KIRKLAND
Lachine,Lachine
LaSalle,LaSalle
L'Île-Bizard–Sainte-Geneviève,L’Île-Bizard–Sainte-Geneviève
Mercier–Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve
Montréal-Est,MONTRÉAL-EST
Montréal-Nord,MONTRÉAL-NORD
Montréal-Ouest,MONTRÉAL-OUEST
Mont-Royal,MONT-ROYAL
Outremont,Outremont
Pierrefonds–Roxboro,Pierrefonds-Roxboro
Plateau-Mont-Royal,Le Plateau-Mont-Royal
Pointe-Claire,POINTE-CLAIRE
Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles
Rosemont–La Petite Patrie,Rosemont–La Petite-Patrie
Sainte-Anne-de-Bellevue,SAINTE-ANNE-DE-BELLEVUE
Saint-Laurent,Saint-Laurent
Saint-Léonard,Saint-Léonard
Senneville,SENNEVILLE
Sud-Ouest,Le Sud-Ouest
Verdun,Verdun
Ville-Marie,Ville-Marie
Villeray–Saint-Michel–Parc-Extension,Villeray–Saint-Michel–Parc-Extension
Westmount,WESTMOUNT
Territory to be confirmed2,Territory to be confirmed2
Total for Montréal,Total for Montréal
